inSamplesVolt[0], 324,
inSamplesVolt[1], 259,
inSamplesVolt[2], 198,
inSamplesVolt[3], 160,
inSamplesVolt[4], 130,
inSamplesVolt[5], 127,
inSamplesVolt[6], 127,
inSamplesVolt[7], 155,
inSamplesVolt[8], 198,
inSamplesVolt[9], 239,
inSamplesVolt[10], 311,
inSamplesVolt[11], 380,
inSamplesVolt[12], 469,
inSamplesVolt[13], 552,
inSamplesVolt[14], 640,
inSamplesVolt[15], 727,
inSamplesVolt[16], 788,
inSamplesVolt[17], 840,
inSamplesVolt[18], 878,
inSamplesVolt[19], 905,
inSamplesVolt[20], 900,
inSamplesVolt[21], 895,
inSamplesVolt[22], 855,
inSamplesVolt[23], 817,
inSamplesVolt[24], 777,
inSamplesVolt[25], 682,
inSamplesVolt[26], 613,
inSamplesVolt[27], 531,
inSamplesVolt[28], 447,
inSamplesVolt[29], 358,
inSamplesVolt[30], 239,
inSamplesVolt[31], 218,
inSamplesVolt[32], 176,
inSamplesVolt[33], 139,
inSamplesVolt[34], 124,
inSamplesVolt[35], 126,
inSamplesVolt[36], 141,
inSamplesVolt[37], 182,
inSamplesVolt[38], 225,
inSamplesVolt[39], 271,
inSamplesVolt[40], 371,
inSamplesVolt[41], 447,
inSamplesVolt[42], 524,
inSamplesVolt[43], 610,
inSamplesVolt[44], 700,
inSamplesVolt[45], 767,
inSamplesVolt[46], 828,
inSamplesVolt[47], 866,
inSamplesVolt[48], 895,
inSamplesVolt[49], 901,
inSamplesVolt[50], 900,
inSamplesVolt[51], 871,
inSamplesVolt[52], 830,
inSamplesVolt[53], 790,
inSamplesVolt[54], 716,
inSamplesVolt[55], 635,
inSamplesVolt[56], 557,
inSamplesVolt[57], 476,
inSamplesVolt[58], 388,
inSamplesVolt[59], 302,
inSamplesVolt[60], 241,
inSamplesVolt[61], 188,
inSamplesVolt[62], 151,
inSamplesVolt[63], 126,
inSamplesVolt[64], 128,
inSamplesVolt[65], 132,
inSamplesVolt[66], 165,
inSamplesVolt[67], 212,
inSamplesVolt[68], 250,
inSamplesVolt[69], 342,
inSamplesVolt[70], 420,
inSamplesVolt[71], 498,
inSamplesVolt[72], 581,
inSamplesVolt[73], 671,
inSamplesVolt[74], 749,
inSamplesVolt[75], 843,
inSamplesVolt[76], 853,
inSamplesVolt[77], 889,
inSamplesVolt[78], 902,
inSamplesVolt[79], 900,
inSamplesVolt[80], 890,
inSamplesVolt[81], 845,
inSamplesVolt[82], 788,
inSamplesVolt[83], 757,
inSamplesVolt[84], 659,
inSamplesVolt[85], 582,
inSamplesVolt[86], 505,
inSamplesVolt[87], 417,
inSamplesVolt[88], 328,
inSamplesVolt[89], 261,
inSamplesVolt[90], 199,
inSamplesVolt[91], 162,
inSamplesVolt[92], 128,
inSamplesVolt[93], 128,
inSamplesVolt[94], 126,
inSamplesVolt[95], 157,
inSamplesVolt[96], 203,
inSamplesVolt[97], 234,
inSamplesVolt[98], 310,
inSamplesVolt[99], 393,
inSamplesVolt[100], 472,
inSamplesVolt[101], 551,
inSamplesVolt[102], 640,
inSamplesVolt[103], 726,
inSamplesVolt[104], 788,
inSamplesVolt[105], 838,
inSamplesVolt[106], 878,
inSamplesVolt[107], 903,
inSamplesVolt[108], 899,
inSamplesVolt[109], 898,
inSamplesVolt[110], 858,
inSamplesVolt[111], 813,
inSamplesVolt[112], 774,
inSamplesVolt[113], 682,
inSamplesVolt[114], 609,
inSamplesVolt[115], 533,
inSamplesVolt[116], 448,
inSamplesVolt[117], 358,
inSamplesVolt[118], 278,
inSamplesVolt[119], 218,
inSamplesVolt[120], 177,
inSamplesVolt[121], 140,
inSamplesVolt[122], 125,
inSamplesVolt[123], 126,
inSamplesVolt[124], 139,
inSamplesVolt[125], 182,
inSamplesVolt[126], 223,
inSamplesVolt[127], 280,
